trade_area_id,n_periods,mean_clo,std_clo,iqr_clo,cv_clo,slope_clo,shock_cnt,label_persistent_high,label_spiky,label_trending_up
3130062,5,0.14603777375929275,0.1359293751374204,0.21193490054249547,0.9307823013069649,-0.07294253566405465,0,False,False,False
3110379,5,0.12286874418712779,0.0414509858755414,0.053859518490940686,0.33735988879655177,-0.00031200490895520185,1,False,False,False
3130234,5,0.12214285714285715,0.12516315882291648,0.2,1.024727616094053,-0.05357142857142857,0,False,False,False
3110092,5,0.08660399083843243,0.049860057874258255,0.05894345613971782,0.5757247142025672,-0.030199529790807467,0,False,False,False
3130188,5,0.08222222222222222,0.08447367914999206,0.1111111111111111,1.0273825842566602,0.00888888888888889,1,False,False,True
3110321,5,0.07555555555555556,0.07345108391572626,0.1111111111111111,0.9721466988846122,0.03222222222222222,0,False,False,True
3130162,5,0.07336313702155292,0.03796896136395649,0.03632589517384535,0.5175482252456274,0.0104827927687898,1,False,False,True
3130124,5,0.073015873015873,0.10384398243680079,0.14285714285714285,1.422211063808359,-0.05873015873015872,0,False,False,False
3130103,5,0.06890786749482401,0.07557642076104047,0.1375,1.0967749185783084,0.04563405797101449,0,False,False,True
3110445,5,0.06272222222222222,0.04522594169798055,0.060000000000000005,0.7210513291086358,0.01686111111111111,1,False,False,True
3130282,5,0.05746485864488617,0.06180250199100123,0.07317073170731707,1.0754834075712298,0.0015906680805938488,2,False,True,False
3130215,5,0.056945488721804514,0.05244613964977947,0.09375,0.9209884896412832,0.006268796992481204,0,False,False,True
3110801,5,0.056774716391679456,0.037601633041340794,0.06361149110807113,0.6622953918771394,-0.019859278888006655,0,False,False,False
3110006,5,0.05541035541035542,0.053179177409931715,0.08108108108108109,0.959733555507808,-0.01653301653301653,0,False,False,False
3110168,5,0.05300571066602357,0.014203394194187702,0.013214285714285713,0.2679596974688242,-0.004549597080694462,1,True,False,False
3110678,5,0.0515968519928916,0.056024088226024255,0.09900990099009901,1.0858043865494467,0.034076814274834076,0,False,False,True
3110380,5,0.05154004661104052,0.04065584804876174,0.04859584859584859,0.7888205526002133,0.024214398403039374,0,False,False,True
3120247,5,0.05049106624459295,0.01633489566141376,0.00497158400460411,0.3235205131593562,-0.0071084474708907166,3,True,True,False
3110931,5,0.049960725561201375,0.035118676203099324,0.052701271186440676,0.7029256642816227,0.0006888724805130794,1,False,False,False
3110894,5,0.04962194754850259,0.03172185177834995,0.05619047619047619,0.6392705918554218,0.00394960281077156,0,False,False,True
3110311,5,0.04870915032679739,0.027542763034029836,0.0069444444444444475,0.5654535718492539,0.0025898692810457508,2,False,True,True
3130113,5,0.04856394823841137,0.011001055085694196,0.01183390719790129,0.22652719732933443,-0.002673842479192892,1,True,False,False
3110504,5,0.04802867383512545,0.06607048335257062,0.1111111111111111,1.3756466309975526,-0.012903225806451613,0,False,False,False
3110046,5,0.04726130415887232,0.03731375753672783,0.060256410256410264,0.7895202682366723,-0.010811934319671979,0,False,False,False
3110993,5,0.04707692307692308,0.06448338164888485,0.11538461538461539,1.3697450350253317,-0.0009230769230769209,0,False,False,False
3110763,5,0.04679444042878529,0.01707761620698138,0.007073740407073745,0.36494968313535375,0.00335782894308925,4,True,True,True
3110990,5,0.046282227307398935,0.04234814590835624,0.07894736842105263,0.9149980105124765,0.014598016781083144,0,False,False,True
